taxonid,assessmentid,countryid,translations
198638,9062810,CS,"OLD-01"
198643,9064495,CS,"OLD-01"
198644,9065343,CS,"OLD-01"
198646,9066125,CS,"OLD-01"
198647,9066421,CS,"OLD-01"
198651,9068764,CS,"OLD-01"
198652,9069956,CS,"OLD-01"
198657,9071924,CS,"OLD-01"
198658,9072202,CS,"OLD-01"
198660,9072909,CS,"OLD-01"
198662,9073220,CS,"OLD-01"
198666,9074385,CS,"OLD-01"
198667,9074668,CS,"OLD-01"
198669,9075399,CS,"OLD-01"
198670,9075788,CS,"OLD-01"
198673,9077381,CS,"OLD-01"
198674,9077807,CS,"OLD-01"
198676,9079335,CS,"OLD-01"
198709,9081057,CS,"OLD-01"
198712,9082356,CS,"OLD-01"
198713,9082681,CS,"OLD-01"
198715,9083306,CS,"OLD-01"
198718,9084694,CS,"OLD-01"
198719,9085130,CS,"OLD-01"
198720,9085533,CS,"OLD-01"
198721,9085935,CS,"OLD-01"
198722,9086386,CS,"OLD-01"
198728,9088393,CS,"OLD-01"
198729,9088741,CS,"OLD-01"
198730,9089149,CS,"OLD-01"
198731,9089507,CS,"OLD-01"
198733,9090210,CS,"OLD-01"
198735,9090633,CS,"OLD-01"
198736,9090943,CS,"OLD-01"
198737,9091261,CS,"OLD-01"
198740,9092274,CS,"OLD-01"
198742,9092892,CS,"OLD-01"
198745,9093689,CS,"OLD-01"
198746,9093928,CS,"OLD-01"
198748,9094532,CS,"OLD-01"
198753,9096195,CS,"OLD-01"
198756,9097138,CS,"OLD-01"
198757,9097537,CS,"OLD-01"
198758,9098709,CS,"OLD-01"
198759,9099520,CS,"OLD-01"
198763,2532942,CS,"OLD-01"
198764,2533176,CS,"OLD-01"
198765,2533590,CS,"OLD-01"
198767,2534327,CS,"OLD-01"
198769,9101482,CS,"OLD-01"
198770,9102941,CS,"OLD-01"
198773,9103946,CS,"OLD-01"
198774,9104225,CS,"OLD-01"
198775,9104588,CS,"OLD-01"
21257,2774702,CS,"OLD-01"
21856,9324021,CS,"OLD-01"
23148,9420041,CS,"OLD-01"
41006,2950265,CS,"OLD-01"
62535,3115662,FRA-CI,"OLD-04"
63517,3125479,FRA-CI,"OLD-04"
63521,3125935,FRA-CI,"OLD-04"
